"V1","V2","V3","V4","V5"
1495617,-1.0355701678956,3.56130893607392e-25,-0.136539479704397,-1.1721096476
1495665,-1.0036179855188,1.12696571078962e-23,-0.136688232881197,-1.1403062184
1495878,-0.99103222232397,1.29944429647492e-27,-0.135824077009363,-1.12685629933333
1495935,-0.98917521481367,1.64634611314884e-27,-0.135834451352996,-1.12500966616667
744490,-0.985170782799252,6.76857958657544e-07,-0.518252238800748,-1.5034230216
1495631,-0.978110637626941,1.62158157273603e-22,-0.136806982173059,-1.1149176198
1496248,-0.965977304518985,5.34730940184335e-44,-0.132366367781015,-1.0983436723
1495751,-0.956526236387652,1.4546937110705e-21,-0.136907468212348,-1.0934337046
897356,-0.94070489205625,8.09730311032113e-214,-0.17172288334375,-1.1124277754
1495997,-0.938532051279026,8.50502242148702e-25,-0.136117374054307,-1.07464942533333
1495647,-0.926450032617025,2.81604772881535e-20,-0.137047487782975,-1.0634975204
1496075,-0.908429763940287,4.78020159250318e-27,-0.135439705488285,-1.04386946942857
1495804,-0.904734533251263,2.23672641088785e-19,-0.137148584148737,-1.0418831174
296959,-0.897485792594387,6.7479367896519e-12,-0.209867104005613,-1.1073528966
41597,-0.887741975240973,1.33613382466888e-14,-0.492049563159027,-1.3797915384
1495929,-0.887088644277154,3.25953016302846e-22,-0.136404767389513,-1.02349341166667
1496338,-0.88004509514221,2.46508572163236e-55,-0.12906943725779,-1.0091145324
670295,-0.86769830017942,9.17125513222031e-07,-0.52416564002058,-1.3918639402
670878,-0.854939427570471,1.13123808633066e-220,-0.396063728031938,-1.25100315560241
1495719,-0.851190724398129,2.92465601076538e-17,-0.137397857001871,-0.9885885814
1495745,-0.848036037172311,3.85725787873746e-17,-0.137412543627689,-0.9854485808
1495705,-0.842962821047708,6.00546838985471e-17,-0.137436161952292,-0.980398983
1495925,-0.833473166803371,1.06308140249849e-19,-0.136704295196629,-0.970177462
1495828,-0.833438780137325,1.36788244707128e-16,-0.137480501062675,-0.9709192812
1495823,-0.828094211332086,2.16123988414846e-16,-0.137505382667914,-0.965599594
603733,-0.825214290752666,0.000591784943846378,-0.791408524647334,-1.6166228154
1495842,-0.81663949155884,5.69813173090684e-16,-0.13755871004116,-0.9541982016
1495681,-0.813561543592142,7.37510708562744e-16,-0.137573039407858,-0.951134583
296911,-0.811618814839102,5.87566051295775e-10,-0.210266857160898,-1.021885672
1495795,-0.802468790954537,1.8522489104763e-15,-0.137624681645463,-0.9400934726
745271,-0.800583596659495,1.85387685981221e-11,-0.206422552340505,-1.007006149
1495725,-0.798798694645089,2.50437202478957e-15,-0.137641767754911,-0.9364404624
1495914,-0.795649798379046,3.24021016734241e-15,-0.137656427420954,-0.9333062258
604131,-0.790821144357076,9.82961312897414e-05,-0.790095976642924,-1.580917121
1496050,-0.771249386503146,1.1576010455401e-19,-0.136333804782568,-0.907583191285714
744497,-0.771184545466043,0.000104400360214112,-0.519248450333957,-1.2904329958
1495832,-0.769403881082133,2.65703457705113e-14,-0.137778615117867,-0.9071824962
1493469,-0.766738146840786,9.00299033821211e-37,-0.0943928803592142,-0.8611310272
296978,-0.763720786882133,5.80881791141805e-09,-0.210489846117867,-0.974210633
296787,-0.762482370241534,6.15175821277892e-09,-0.210495611558466,-0.9729779818
203129,-0.753792223820954,6.97074640391239e-06,-0.538699399579046,-1.2924916234
1496114,-0.752407279617887,9.32151903917459e-19,-0.136456611810684,-0.888863891428571
1496360,-0.750496579159583,3.03616038413861e-53,-0.127384842140417,-0.8778814213
1425555,-0.744404039425257,0.000754897335528313,-0.606580452974743,-1.3509844924
1496335,-0.743587605819075,1.02344872972474e-38,-0.130975268114259,-0.874562873933333
626418,-0.741558792462488,7.32050125044891e-45,-0.0682642011375117,-0.8098229936
744474,-0.736656600443031,0.000211171766462286,-0.519409194956969,-1.2560657954
1348984,-0.736165012321235,9.73572775877334e-09,-0.305266901278765,-1.0414319136
118722,-0.734830986423832,0.00136194421756654,-0.846130118326168,-1.58096110475
1438658,-0.734747177526473,3.93123056309445e-06,-0.408353970673527,-1.1431011482
1495760,-0.73308954392217,4.30952791224229e-13,-0.13794767627783,-0.8710372202
626566,-0.732994298516745,8.89316748006941e-44,-0.0683040730832554,-0.8012983716
1454236,-0.732869459423012,9.16881554600537e-05,-0.673786063376988,-1.4066555228
1495946,-0.732275854858614,1.95830305347573e-15,-0.137269643308052,-0.869545498166667
603917,-0.73147296823667,0.00233993294165222,-0.79184493676333,-1.523317905
458656,-0.731117295182975,1.07658153948819e-07,-0.524545846217025,-1.2556631414
1496158,-0.724353914513133,8.49162558556583e-20,-0.135965009986867,-0.8603189245
296988,-0.719598789611413,4.23170191382239e-08,-0.210695255788587,-0.9302940454
616616,-0.718144878766769,3.29511115968718e-12,-0.314304832947516,-1.03244971171429
604353,-0.715658643804135,2.56211039949301e-05,-0.788586816095865,-1.5042454599
1496100,-0.714305016559914,5.30561260320696e-17,-0.136704950582943,-0.851009967142857
461768,-0.713408720994949,0.000160705925546943,-0.493719016405051,-1.2071277374
619740,-0.712915628003481,2.65574901708838e-36,-0.00847814956794752,-0.721393777571429
604102,-0.710710983857678,0.00120134438509862,-0.791279851975655,-1.50199083583333
1495941,-0.702580495496255,2.68342680469443e-14,-0.137435539170412,-0.840016034666667
836667,-0.700986804319159,0.000153549371044849,-0.487828571430841,-1.18881537575
893279,-0.699950981882942,4.60650148055824e-11,-0.311462507894836,-1.01141348977778
757189,-0.699853473558052,1.20779334532808e-22,-0.0478491217752809,-0.747702595333333
1495852,-0.699485294759214,4.99748992312667e-12,-0.138104120640786,-0.8375894154
1496226,-0.699119282490767,1.08941399742491e-20,-0.135502028398122,-0.834621310888889
436801,-0.698160463409916,0.000263465572773862,-0.565540094390084,-1.2637005578
1496117,-0.694702077376356,3.87606165778496e-16,-0.136832716480787,-0.831534793857143
1495881,-0.691739459884831,6.77716350215181e-14,-0.137496103615169,-0.8292355635
1495632,-0.68974827902243,1.21453243067487e-09,-0.13879167497757,-0.828539954
134536,-0.689339667410477,1.34505597861793e-09,-0.117607617789523,-0.8069472852
567753,-0.683003614669344,6.37591234402108e-28,-0.206681073646446,-0.88968468831579
744708,-0.681728235224796,4.99205903374775e-05,-0.518395401060918,-1.20012363628571
1495923,-0.677390647421348,2.25566818561134e-13,-0.137576264578652,-0.814966912
1496346,-0.675379696409594,4.70850739291926e-36,-0.130670202237465,-0.806049898647059
1495887,-0.675128781968165,2.71974548843612e-13,-0.137588900698502,-0.812717682666667
744642,-0.67495337143352,0.000201387243725653,-0.519068005733146,-1.19402137716667
1495924,-0.670685280437266,3.92020076102082e-13,-0.137613724729401,-0.808299005166667
1520978,-0.670650259987652,3.07796539864838e-09,-0.268224461212348,-0.9388747212
1496090,-0.668038151147677,5.25859300071921e-15,-0.137006503709466,-0.805044654857143
1495789,-0.667638756005613,4.56007777852036e-11,-0.138252381994387,-0.805891138
670275,-0.667605345131338,0.000164555145105624,-0.525097171468662,-1.1927025166
151711,-0.66540456035566,1.06080615443197e-09,-0.32820636344434,-0.9936109238
896929,-0.664189599641386,1.79519299810283e-10,-0.211806781858614,-0.8759963815
908434,-0.663446619738634,0.000107620768962466,-0.456854358661366,-1.1203009784
1238870,-0.663324225347802,4.63796046506485e-08,-0.275697529852198,-0.9390217552
645959,-0.661922880870346,6.37478364304925e-06,-0.420762998729654,-1.0826858796
1496228,-0.660123281470423,1.53745035191174e-18,-0.135828810529577,-0.795952092
908495,-0.65946498537757,0.000577054420198412,-0.45748692212243,-1.1169519075
1239081,-0.658993989940822,1.23582109967173e-10,-0.274490512344892,-0.933484502285714
836760,-0.65856558464794,1.32425379916056e-05,-0.486760185685393,-1.14532577033333
1496322,-0.657874891627763,3.54607014740923e-28,-0.132784919515094,-0.790659811142857
1495746,-0.657653202325538,8.92173214623914e-11,-0.138298869674462,-0.795952072
1425528,-0.657620721253134,0.00293611311211188,-0.606984472146866,-1.2646051934
646177,-0.656721091976052,7.54316491946794e-06,-0.420787215623948,-1.0775083076
118843,-0.656568673961833,0.00138506735923117,-0.845810267838166,-1.5023789418
1495763,-0.655923772978485,1.00107836944328e-10,-0.138306921021515,-0.794230694
297010,-0.655117594628438,6.23657687754903e-07,-0.210995447571562,-0.8661130422
203130,-0.653259673588587,0.000100015610048552,-0.539167428211413,-1.1924271018
