"V1","V2","V3","V4","V5"
3444379,-0.910193841924386,6.62578686030243e-64,-0.127800885075614,-1.037994727
3443358,-0.9040138176,2.57043583520788e-38,-0.132943309,-1.0369571266
3444064,-0.890489299434641,9.45003559722626e-49,-0.13058183533459,-1.02107113476923
3443330,-0.827904749256767,5.20421407007738e-32,-0.133651959543233,-0.9615567088
3444475,-0.820473712732818,2.50270600099629e-54,-0.128373555796594,-0.948847268529412
3444507,-0.80925930113028,9.82129844238717e-53,-0.128551065105014,-0.937810366235294
3443187,-0.807184965419549,2.04857302608727e-30,-0.133844881180451,-0.9410298466
3443317,-0.801119396587218,5.87308049664761e-30,-0.133901357612782,-0.9350207542
3444166,-0.801098701884501,4.05141789976796e-42,-0.130917942472642,-0.932016644357143
3444677,-0.793664456506037,2.00622062136057e-63,-0.12584199111301,-0.919506447619048
3444262,-0.7928101320695,2.92450019701513e-44,-0.130287802663834,-0.923097934733333
3444417,-0.774462925225662,4.7498732716842e-45,-0.129822947149338,-0.904285872375
3443787,-0.768561676682203,4.6977717264825e-33,-0.132773288567797,-0.90133496525
3444142,-0.762686202505391,4.98349957308765e-38,-0.131418664066038,-0.894104866571429
3444531,-0.754098609250316,3.84423990036564e-48,-0.128722045694129,-0.882820654944444
3444511,-0.744168486357616,4.19126182300947e-44,-0.129581366642384,-0.873749853
3444405,-0.741095577078332,4.5000137136471e-41,-0.130320039859168,-0.8714156169375
3443784,-0.73542829918032,3.06901907722156e-30,-0.133143493903013,-0.868571793083333
3443420,-0.73205850381485,4.79606757855172e-25,-0.13454438268515,-0.8666028865
3444329,-0.727096976703305,5.77370565677065e-37,-0.131205584163362,-0.858302560866667
3443665,-0.72523666986214,5.47840812170407e-27,-0.133932633774224,-0.859169303636364
3444246,-0.724544784634367,3.14524964312551e-34,-0.131915852008491,-0.856460636642857
3443900,-0.723639812242467,2.82697514899785e-29,-0.133275208840866,-0.856915021083333
3443654,-0.713267723157445,4.10344954177304e-26,-0.134055220751646,-0.847322943909091
3443641,-0.706517968409305,1.25487316615706e-25,-0.134124352317968,-0.840642320727273
3443815,-0.699668981312618,2.25548927206423e-27,-0.133543039354049,-0.833212020666667
3444776,-0.694045749120755,3.89174812399743e-52,-0.126497392748811,-0.820543141869565
3443901,-0.692564082467985,7.97979957942762e-27,-0.133622423698682,-0.826186506166667
3444270,-0.689684486422663,3.51610429898732e-33,-0.131728104977337,-0.8214125914
3444523,-0.686221543179924,1.75290019086327e-39,-0.129859650153409,-0.816081193333333
3443204,-0.685517429478383,4.95162884763383e-22,-0.134977726021617,-0.8204951555
3443972,-0.681850937271657,5.20779813273537e-26,-0.133742123645009,-0.815593060916667
3444510,-0.681265269604541,1.05811025364023e-36,-0.130577041395459,-0.811842311
3443664,-0.680250543098264,8.62089581287119e-24,-0.1343933855381,-0.814643928636364
3444296,-0.679291771100661,3.56503360745211e-32,-0.131873254632672,-0.811165025733333
3443524,-0.676390156781835,1.57975401325168e-23,-0.134432923945437,-0.810823080727273
3443847,-0.674015667272128,2.00828507964281e-25,-0.133829668561205,-0.807845335833333
3443799,-0.673249813496704,2.28920994722243e-25,-0.133838225586629,-0.807088039083333
3444674,-0.671885338568715,2.9885003615317e-44,-0.128223147050332,-0.800108485619048
3443305,-0.671705931601692,3.50611033879717e-21,-0.135106324698308,-0.8068122563
3444208,-0.67075412296779,2.7362372986325e-29,-0.132617033817925,-0.803371156785714
3444807,-0.670337555942143,1.35257023430088e-50,-0.126380959682857,-0.796718515625
3443260,-0.668763520348872,5.28870334855302e-21,-0.135133721451128,-0.8038972418
3444043,-0.668514819265135,4.75602779716914e-27,-0.133268677273327,-0.801783496538462
3443258,-0.66408510427782,1.01238750988195e-20,-0.13517728212218,-0.7992623864
3444332,-0.661901170145798,1.5577550230322e-30,-0.132116140120869,-0.794017310266667
3444605,-0.66018718723552,1.6698272784414e-38,-0.129681280711848,-0.789868467947368
3444568,-0.65945370073327,2.27760308374415e-36,-0.130308273211174,-0.789761973944444
3443279,-0.654464215608834,3.78561069450686e-20,-0.135266862091165,-0.7897310777
3444821,-0.652133832482059,8.87703652495382e-50,-0.126180545837941,-0.77831437832
3444907,-0.651089252204698,1.18520863980591e-66,-0.121355034189241,-0.772444286393939
3444211,-0.649766328266038,1.72463615485261e-27,-0.132890617733962,-0.782656946
3443225,-0.649302799833835,7.61193754064644e-20,-0.135314919966165,-0.7846177198
3444436,-0.649262576623582,2.58628929431065e-31,-0.131688129251418,-0.780950705875
3444564,-0.646407127865215,6.55330738984307e-35,-0.130526930857008,-0.776934058722222
3444775,-0.642927826038638,2.6957677779843e-44,-0.127592096874405,-0.770519922913043
3443414,-0.641737407968797,2.09514448269132e-19,-0.135385361231203,-0.7771227692
3444794,-0.641019006364762,5.38187767193202e-46,-0.127036122801905,-0.768055129166667
1390238,-0.639613179392029,8.08902085228936e-05,-0.788699331426152,-1.42831251081818
3444566,-0.638123579614268,5.28788421235097e-34,-0.130665761274621,-0.768789340888889
3444080,-0.636165743199594,1.57898984382809e-24,-0.13366023964656,-0.769825982846154
523277,-0.636004307298684,3.19180001742704e-07,-0.658234421401316,-1.2942387287
3443174,-0.635643665108459,4.68977904285079e-19,-0.135442099991541,-0.7710857651
3444157,-0.63497676096752,2.90455807628484e-26,-0.133083405389623,-0.768060166357143
3444156,-0.633439025498652,3.87827346889244e-26,-0.133103450358491,-0.766542475857143
3443933,-0.632275293632298,1.95264131931977e-22,-0.134296041451036,-0.766571335083333
3444586,-0.631758222011374,3.59633184687491e-35,-0.130184213988626,-0.761942436
3444734,-0.630706621155721,1.17771306641445e-40,-0.128441067389734,-0.759147688545455
3444425,-0.621948726504726,1.0026727789826e-28,-0.132095039495274,-0.754043766
3444083,-0.621176805158559,2.0713714112116e-23,-0.133841669995287,-0.755018475153846
3443909,-0.620620437104991,1.21632732234267e-21,-0.134426263311676,-0.755046700416667
3444452,-0.620425289798322,1.38513226563807e-28,-0.132117735014178,-0.7525430248125
3444072,-0.618275257309795,3.38091742680317e-23,-0.133876791151744,-0.752152048461538
3443898,-0.616875377193503,2.1711687335449e-21,-0.134468107556497,-0.75134348475
3444026,-0.614851147609077,6.00662398681281e-23,-0.133918237544769,-0.748769385153846
685029,-0.61322329248557,5.66705522641169e-69,-0.17636123031746,-0.78958452280303
3443346,-0.612060471601128,9.77392185555026e-18,-0.135661682798872,-0.7477221544
1306623,-0.610732411178875,4.75980041424914e-19,-0.209665570946125,-0.820397982125
3444826,-0.610128562662726,3.16546015663968e-43,-0.127158322137274,-0.7372868848
3443372,-0.608107914392481,1.60569896572744e-17,-0.135698485007519,-0.7438063994
3443582,-0.60701094384897,4.27958043256855e-19,-0.135143511787394,-0.742154455636364
3444683,-0.607001983957129,7.81433068841721e-36,-0.129491815995252,-0.736493799952381
3444951,-0.606502843427887,7.38105290296418e-98,-0.110866013498039,-0.717368856925926
3444179,-0.605780137983962,6.09671381634557e-24,-0.133463994516038,-0.7392441325
3443686,-0.605307734156675,5.41185875293332e-19,-0.135160956206961,-0.740468690363636
2091113,-0.605045017899248,5.89553411339432e-07,-0.454309463800752,-1.0593544817
3443481,-0.601835994326504,3.50414281129465e-17,-0.135756882773496,-0.7375928771
3444184,-0.601481546488544,1.30628172047898e-23,-0.13352002829717,-0.735001574785714
3443266,-0.600259155096992,4.25771092546006e-17,-0.135771564703008,-0.7360307198
684158,-0.598562566700138,1.77372313702314e-13,-0.206800172530631,-0.805362739230769
3443383,-0.597878355603947,5.70736030205885e-17,-0.135793732296053,-0.7336720879
3443903,-0.597645176280132,3.99292099970721e-20,-0.134682970136535,-0.732328146416667
3443915,-0.597248217064972,4.23557685950929e-20,-0.134687405435028,-0.7319356225
3443285,-0.59722524086109,6.18369158815912e-17,-0.13579981343891,-0.7330250543
683299,-0.597170607579323,1.24040853193607e-10,-0.208485095520677,-0.8056557031
3443310,-0.59462615450188,8.49900225300459e-17,-0.13582401349812,-0.730450168
3443532,-0.594168945547764,2.46662978088387e-18,-0.135275040634055,-0.729443986181818
3444803,-0.593963912512619,3.31447484281951e-39,-0.128087633279048,-0.722051545791667
3443404,-0.591947663608083,1.17763580635051e-16,-0.135848952891917,-0.7277966165
3444249,-0.591532486768464,7.43685889797406e-23,-0.133649718088679,-0.725182204857143
3443731,-0.591157240773112,3.69708141036829e-18,-0.135305886772342,-0.726463127545455
3443990,-0.591143427889799,2.90128701786077e-21,-0.134205202494816,-0.725348630384615
3444712,-0.590228091937435,1.88553612696351e-35,-0.12927023651711,-0.719498328454545
3444779,-0.589878646402019,5.02905736010637e-37,-0.12872815938059,-0.718606805782609
3444103,-0.5878353112792,4.91454106482497e-21,-0.134245244874647,-0.722080556153846
3444362,-0.586291531066667,5.2841116426839e-24,-0.133172140666667,-0.719463671733333
3444304,-0.585252978610765,6.39861271383491e-24,-0.133186645589235,-0.7184396242
1713668,-0.583800162241541,3.37828114722746e-05,-0.517402939258459,-1.1012031015
3443999,-0.583157581327195,1.02948766449526e-20,-0.134301865442036,-0.717459446769231
3444792,-0.581820814364048,1.44464861871423e-37,-0.128358987427619,-0.710179801791667
3444444,-0.581093783634924,4.17279388868141e-25,-0.132703679240076,-0.713797462875
3443516,-0.580965255036689,1.42965073652428e-17,-0.135410273963311,-0.716375529
3444057,-0.580407001608642,1.5851920870603e-20,-0.134335159237512,-0.714742160846154
3444361,-0.578763223641549,2.0966342332033e-23,-0.133277284625118,-0.712040508266667
3444935,-0.577388668763675,9.10222771049014e-68,-0.118243518887488,-0.695632187651163
3444695,-0.577371598594492,2.32883823871587e-32,-0.130071181072175,-0.707442779666667
3444119,-0.577226176072936,2.60375882968235e-20,-0.134373660850141,-0.711599836923077
3444105,-0.575530270350033,3.38808912172667e-20,-0.134394188573044,-0.709924458923077
3444497,-0.575454814050309,4.03925551792592e-26,-0.132251881008515,-0.707706695058824
3444152,-0.573621561954582,1.56406769495833e-21,-0.133883193831132,-0.707504755785714
3444350,-0.572285868386025,6.74918864066651e-23,-0.133367750480642,-0.705653618866667
3444927,-0.570909980054765,6.18360990425805e-58,-0.121160775418919,-0.692070755473684
683370,-0.570229976514662,8.31811731845222e-10,-0.208735939385338,-0.7789659159
1005217,-0.570107408471617,2.57449795809576e-05,-0.563482113228383,-1.1335895217
3444353,-0.569749698823418,1.06225608033696e-22,-0.133403171843248,-0.703152870666667
3443314,-0.569464796525752,1.70700508791905e-15,-0.136058290574248,-0.7055230871
3443194,-0.569314102616729,1.73720849385869e-15,-0.136059693683271,-0.7053737963
683556,-0.568491778172556,9.37568209032812e-10,-0.208752123727444,-0.7772439019
3443634,-0.568080985517318,7.61204124383237e-17,-0.135542235755409,-0.703623221272727
3444606,-0.565852442081517,3.71242135634787e-28,-0.131350144918483,-0.697202587
3443783,-0.565582522336629,4.06226766182195e-18,-0.135041212080038,-0.700623734416667
3444470,-0.565500951328733,3.088317071092e-25,-0.132409437494797,-0.697910388823529
3443289,-0.565431362877632,2.72492603983414e-15,-0.136095845822368,-0.7015272087
3443721,-0.564357758635936,1.22466138745903e-16,-0.135580369364064,-0.699938128
3443710,-0.563248599257847,1.41009199450388e-16,-0.135591729469426,-0.698840328727273
3443224,-0.56194009856109,4.07288135440778e-15,-0.13612835293891,-0.6980684515
3443196,-0.56168116422688,4.19566131128106e-15,-0.13613076387312,-0.6978119281
3444611,-0.560146050011374,1.35533482092597e-27,-0.131451095988626,-0.691597146
3443679,-0.560028280660737,2.11969434381239e-16,-0.135624712248354,-0.695652992909091
3444891,-0.559876388768008,1.75307425832561e-43,-0.125721564598659,-0.685597953366667
3444012,-0.558393390163126,4.61356717308841e-19,-0.134601618221489,-0.692995008384615
3443677,-0.558121942784914,2.6948877964468e-16,-0.135644237124177,-0.693766179909091
3444058,-0.556714323495686,5.93015782423339e-19,-0.134621942119698,-0.691336265615385
3443889,-0.556689140862524,1.39182025895743e-17,-0.13514057947081,-0.691829720333333
1434281,-0.55640955820026,3.58649592692393e-06,-0.55758265523724,-1.1139922134375
3444865,-0.554647111513521,9.39956882418898e-40,-0.126900496200765,-0.681547607714286
3444439,-0.554078980847353,7.12946428090139e-23,-0.133106134402646,-0.68718511525
3443695,-0.55388218041187,4.58177321030972e-16,-0.135687661133584,-0.689569841545455
526291,-0.552930134798677,4.2235463584502e-07,-0.548735796701323,-1.1016659315
3444699,-0.552710255466015,1.23544628298364e-29,-0.130553386105413,-0.683263641571429
1390261,-0.551504862187035,0.000684804050493169,-0.78960174435842,-1.34110660654545
3444561,-0.551055753866793,2.39165185339864e-25,-0.132124998577652,-0.683180752444444
3443203,-0.549580369383835,1.65349643019046e-14,-0.136243434216165,-0.6858238036
3443925,-0.549213124874294,3.85354948548197e-17,-0.135224110375706,-0.68443723525
3443509,-0.546796226372702,1.10142639994889e-15,-0.135760236081844,-0.682556462454545
684119,-0.546023315345682,2.02888602848398e-11,-0.207436122500471,-0.753459437846154
3444044,-0.544533369861959,3.57248519001182e-18,-0.134769383830349,-0.679302753692308
3444759,-0.544527455623216,1.87240809210527e-31,-0.129699367376784,-0.674226823
3444212,-0.544196606571024,1.84557882587641e-19,-0.134266759357547,-0.678463365928571
3444749,-0.543304808821638,5.69837677993927e-30,-0.130231421087452,-0.673536229909091
3444321,-0.5420638866017,1.29020218249281e-20,-0.1337898451983,-0.6758537318
3443486,-0.540168744668797,4.69846236490129e-14,-0.136331065731203,-0.6764998104
3444687,-0.540103317715642,2.67826513189575e-28,-0.130799890474834,-0.670903208190476
3443415,-0.539722682287782,4.93449108604227e-14,-0.136335219012218,-0.6760579013
3443613,-0.537310316599504,3.49546533745879e-15,-0.135857391582314,-0.673167708181818
1005658,-0.537273928999915,3.22440387966217e-05,-0.563287570272813,-1.10056149927273
3444494,-0.53698532543781,8.30963148341512e-23,-0.132860802150426,-0.669846127588235
3443975,-0.535474960834746,2.40629238868283e-16,-0.135377609415254,-0.67085257025
3443959,-0.534793800774482,2.63154977779499e-16,-0.135385220142185,-0.670179020916667
3444530,-0.53467514519255,6.85687280263609e-24,-0.132399533918561,-0.667074679111111
3444847,-0.53431301420919,3.53912719519862e-34,-0.128425617944656,-0.662738632153846
3443458,-0.533923309402444,9.29556713635295e-14,-0.136389216897556,-0.6703125263
1713847,-0.532260435194048,7.44626564874843e-05,-0.51738723798777,-1.04964767318182
3443396,-0.531168102204135,1.25263367595365e-13,-0.136414870595865,-0.6675829728
3444323,-0.530879046889896,8.29800571619903e-20,-0.133946058043437,-0.664825104933333
3443393,-0.5307796467,1.30626497100947e-13,-0.1364184875,-0.6671981342
1391072,-0.530372245224244,8.40162270054414e-05,-0.787349041900756,-1.317721287125
3443431,-0.529924164920301,1.43244536555257e-13,-0.136426452879699,-0.6663506178
2091637,-0.529461293391174,4.70359835378382e-06,-0.45452024215428,-0.983981535545455
3444771,-0.528616946247052,1.2412962198421e-29,-0.130040095231208,-0.658657041478261
1390106,-0.528408708699248,0.00192175346034679,-0.790330297800752,-1.3187390065
3443247,-0.528195716358271,1.72496090899921e-13,-0.136442546441729,-0.6646382628
2961985,-0.527257872190207,1.41532290432746e-06,-0.393089592143126,-0.920347464333333
3443189,-0.52573341086391,2.24521258950537e-13,-0.13646547293609,-0.6621988838
3444213,-0.525409329021833,3.34453171099364e-18,-0.134511658692453,-0.659920987714286
3443496,-0.524301932432738,1.64358715653983e-14,-0.135990624567262,-0.660292557
2928820,-0.523668361718291,2.86407624032956e-40,-0.107540432127863,-0.631208793846154
3444305,-0.523051883904438,2.97330117572108e-19,-0.134055375962229,-0.657107259866667
1926019,-0.522334097632772,3.00974651500174e-06,-0.485089532458137,-1.00742363009091
3444426,-0.521898828163398,2.24601165659536e-20,-0.133585540774102,-0.6554843689375
2342032,-0.521360455024528,9.5708437477124e-08,-0.644594477475472,-1.1659549325
2158875,-0.521279741123582,2.53791754939062e-18,-0.161132513751418,-0.682412254875
3444856,-0.520501922584952,1.22251104756826e-33,-0.128275326007641,-0.648777248592593
273495,-0.519868304183083,0.000350933869185422,-0.844026432016917,-1.3638947362
3443583,-0.519648130981442,2.83124697689425e-14,-0.136038289200376,-0.655686420181818
3444471,-0.51898154259458,2.38868465578836e-21,-0.13314577822895,-0.652127320823529
3238427,-0.518894625260338,9.65014980140939e-06,-0.644962663239662,-1.1638572885
3444074,-0.518675092258247,1.39584270852804e-16,-0.135082379741753,-0.653757472
684005,-0.518155714392655,1.03318208185074e-09,-0.208255893940678,-0.726411608333333
3444867,-0.518076647377629,1.51907536786731e-34,-0.127853916122371,-0.6459305635
2091368,-0.517533815635714,1.99449436060528e-05,-0.455124279464286,-0.9726580951
3444832,-0.516383801970715,1.10789743263932e-30,-0.129340462749285,-0.64572426472
3444481,-0.514058638950526,5.84769691318254e-21,-0.133223701284768,-0.647282340235294
3444006,-0.51355112196375,2.81905222258007e-16,-0.135144401728558,-0.648695523692308
3443208,-0.51350032284079,8.1573911512269e-13,-0.136579375059211,-0.6500796979
3444708,-0.513115125680003,9.6591773195586e-27,-0.130849831729087,-0.643964957409091
1063893,-0.512384712183247,1.33861089101376e-06,-0.489406994254253,-1.0017917064375
1005711,-0.512138647059793,3.52459025568419e-05,-0.563068156356874,-1.07520680341667
1005823,-0.511940816748588,3.54940254685247e-05,-0.563070366751412,-1.0750111835
3443779,-0.510402525391243,5.97277588147714e-15,-0.135657748358757,-0.64606027375
3444454,-0.507950712062382,2.40520341648846e-19,-0.133793333937618,-0.641744046
3444793,-0.507614586979286,1.74136724856867e-28,-0.130017227145714,-0.637631814125
3444760,-0.507102849846027,2.82633646906021e-27,-0.130500825414843,-0.63760367526087
3444450,-0.505473948658554,3.6365861471692e-19,-0.133830231716446,-0.639304180375
3443274,-0.50518730756391,1.92446225194769e-12,-0.13665677743609,-0.641844085
3443576,-0.505010608586847,1.51385458682625e-13,-0.136188207958608,-0.641198816545455
3444658,-0.504985273781499,1.22135856604662e-23,-0.131956747268501,-0.63694202105
3443820,-0.504299387068267,1.27259798398459e-14,-0.135725939848399,-0.640025326916667
3444331,-0.504228043099906,5.86448263525155e-18,-0.134318278766761,-0.638546321866667
3444460,-0.50415372382826,3.43898756881619e-20,-0.13338048299527,-0.63753420682353
3443832,-0.50354331323258,1.3966599537546e-14,-0.135734387600753,-0.639277700833333
3443605,-0.502404520261524,2.02945561761074e-13,-0.136214899738476,-0.63861942
1390405,-0.502228623272471,0.00199634023010502,-0.790106435818438,-1.29233505909091
3443590,-0.501877945951424,2.15285512679413e-13,-0.136220292957667,-0.638098238909091
3443965,-0.501693038606403,1.75259004767803e-14,-0.135755061060264,-0.637448099666667
3444485,-0.501238595076743,5.74950050326591e-20,-0.133426625629139,-0.634665220705882
1389981,-0.500812568598496,0.00328862073478679,-0.790587245101504,-1.2913998137
3443734,-0.50062378325511,2.47716915311014e-13,-0.136233138199436,-0.636856921454545
1389923,-0.500553846742669,0.00330483613225037,-0.790589654057331,-1.2911435008
3443374,-0.499930196975752,3.28639717325e-12,-0.136705726324248,-0.6366359233
3444279,-0.499497370520491,1.21707897499434e-17,-0.134384349612842,-0.633881720133333
3444259,-0.498845598019263,1.345069320931e-17,-0.134393452580737,-0.6332390506
1390366,-0.49841362372026,0.00216078226300406,-0.790145509370649,-1.28855913309091
3444198,-0.497808356378167,1.92032519354434e-16,-0.134871447907547,-0.632679804285714
3444389,-0.497635550438209,1.32549285643834e-18,-0.133947004874291,-0.6315825553125
